business_id,name,full_address,postal_code
_VG3IAIbXdends4ATxlEiA,McDonald's,"2402 S Park St, Madison, WI, 53713",53713
_zrquX9OooU6OmYH0rr07w,McDonald's,"3723 Washington Rd, Mc Murray, PA, 15317",15317
=-_O0VCqTfHWwweJsj7khNg,Chipotle Mexican Grill,"371 Howe Ave, Ste C, Cuyahoga Falls, OH, 44221",44221
=-_xSWL2yxziy9aDHH6swBw,Taco Bell,"2050 Lebanon Church Rd, West Mifflin, PA, 15122",15122
=-ay1ej_XQscOcUn8VWXO7A,Mr Hero Restaurants,"1923 S Taylor Rd, Cleveland Heights, OH, 44118",44118
=-BuZrOMqgO4OU_UKYSddAg,Zone 28,"2525 Freeport Rd, Pittsburgh, PA, 15238",15238
=-BvX-RoDZVobhnL00XW1dA,Jersey Mike's Subs,"3469 Hudson Dr, Cuyahoga Falls, OH, 44221",44221
=-cKjQJsU73tLKFA4unJbww,QDOBA Mexican Eats,"4815 Centre Ave, Pittsburgh, PA, 15213",15213
=-ERhX9pa3jIVlZtNp97RCA,Dairy Queen Grill & Chill,"32936 Center Ridge Rd, North Ridgeville, OH, 44039",44039
=-Ewxv_Wc1uQzJQQBeQJWyA,McDonald's,"Raceway Plz, Carnegie, PA, 15106",15106
=-ga9DRU4HE6Li9_tWH3_Fg,McDonald's,"651 W Main St, Waunakee, WI, 53597",53597
=-HYt7RFN333ATu9UwYcKCg,Chipotle Mexican Grill,"9188 Mentor Ave, Mentor, OH, 44060",44060
=-i_SmxvRpzybd9PG6qFMbg,Hardee's,"3311 Parmenter St, Middleton, WI, 53562",53562
=-irL8MZUZMWMUnUgGyFQhg,Popeyes Louisiana Kitchen,"18126 Euclid Ave, Cleveland, OH, 44112",44112
=-k80VNg0yqYQakKZILwViQ,Subway Restaurants,"703 Liberty Ave, Pittsburgh, PA, 15222",15222
=-kbEaXQsyEVgKUZRmui0zA,Taco Bell,"805 E Main Street, Kent, OH, 44240",44240
=-kTHAUKuzh7cFZjVAW55Ug,Chipotle Mexican Grill,"16729 Lorain Ave, Cleveland, OH, 44111",44111
=-m3VtLuy5sEzpJoOU5zYUg,McDonald's,"907 Freeport Rd, Pittsburgh, PA, 15238",15238
=-MC7EFxTsyKMKB3zeP_FIQ,Stownut Donut & Diner,"3055 Graham Rd, Stow, OH, 44224",44224
=-mst4KdHEmeF3Qm0Xfouhw,Subway Restaurants,"6000 Monona Drive, Monona, WI, 53716",53716
=--Ni3oJ4VOqfOEu7Sj2Vzg,KFC,"1245 Pearl Rd, Brunswick, OH, 44212",44212
=-pKhASvKFolihdipQfQXyA,Rally's,"711 Cleveland Street, Elyria, OH, 44035",44035
=-QgoH51lsBKQsg9vZp3b8A,Auntie Anne's,"2000 N Neil St, Ste 260, Champaign, IL, 61820",61820
=-qqMAXJh3CIlfUr7DO0yHQ,KFC,"14901 Snow Rd, Brook Park, OH, 44142",44142
=-RxzvvyKBOPOzeTvagqEfg,McDonald's,"100 Davis Blvd, Pittsburgh, PA, 15275",15275
=-S1BkxguVmi2G_O6Bcoabg,Steak n Shake,"1709 S Neil St, Champaign, IL, 61820",61820
=-s3nJbZRXLMSpwud22iIPA,Burger King,"121 Walmart Dr, North Versailles, PA, 15137",15137
=-sggCnPbOP_EEcXisflQuA,Subway,"14364 Pearl Rd, Strongsville, OH, 44136",44136
=-tA1NsBZIIhC2HeYt-hffw,Arby's,"34635 Euclid Ave, Willoughby, OH, 44094",44094
=-uu7YbF9wzVdugDKb5DGaA,Taco Bell,"1061 North Court Street, Medina, OH, 44256",44256
=-WcFDzr3r7j67VzHhh-AdQ,Swensons Drive-In,"36041 Main St, Avon, OH, 44011",44011
=-z0hKdmi9e37zZoUE6bjiQ,Taco Bell,"2618 State Rd, Cuyahoga Falls, OH, 44223",44223
=-Z83meSvAH4vJ6dfO8hjUw,Jimmy John's,"1935 Settlers Ridge Center Dr, Pittsburgh, PA, 15205",15205
03W4GFc3Ll01kxI7BPxRww,Denny's,"6100 Rockside Rd, Independence, OH, 44131",44131
-05uZNVbb8DhFweTEOoDVg,Subway Restaurants,"333 S Century Blvd, Rantoul, IL, 61866",61866
06DxO1hUPQJmtUzIbVNKwQ,Popeyes Louisiana Kitchen,"2903 Clark Ave, Cleveland, OH, 44109",44109
08JPvTyVYt6I4PbGkQ76jQ,Firehouse Subs,"6232 Mayfield Rd, Mayfield Heights, OH, 44124",44124
0-aoCkMjQqoOCr04QYZ1dA,McDonald's,"25640 Miles Rd, Bedford Heights, OH, 44128",44128
0AoLth4u_V4mOx8Az_AIYQ,Brighton Hot Dog Shoppe,"2401 Noblestown Rd, Pittsburgh, PA, 15205",15205
0b5joPhf_UjX_uCQsO6JNg,McDonald's,"1010 E Broad St, Elyria, OH, 44035",44035
0DeOsUXPoxtfCzHJg76R-Q,Burger King,"616 West Broad Street, Elyria, OH, 44035",44035
0G-WFdOu3_KW3mBZJQq5Cg,Phuel Cafe,"1350 Euclid Ave, Cleveland, OH, 44115",44115
0h4RFNScYBmtNhXAdz_UBA,Chick-fil-A,"4040 William Penn Hwy, Monroeville, PA, 15146",15146
0kgF4xewcPRTLO4RH3EPHw,Taco Bell,"8906 Darrow Road, Twinsburg, OH, 44087",44087
0kyVqnMoflj3DLDecGK89Q,Taco Bell,"3314 Steelyard Drive, Cleveland, OH, 44109",44109
0lMLawkxc9vEGaiuOjx86A,Hardee's,"36900 Vine St, Willoughby, OH, 44094",44094
0ncqSuOVN1EYGlXgGyM05g,Igloo Frozen Yogurt And Treats,"44 Front St, Berea, OH, 44017",44017
0QgFIP9W0eGZSxCSQRQSCg,Subway Restaurants,"701 S Gregory Street, Suite A, Urbana, IL, 61801",61801
0qh5uSAUDcVzC6hoPsAPvA,Chick-fil-A,"430 S Gammon Rd, Madison, WI, 53719",53719
0rN_o7_IfshAHQwzMUK8nA,Chipotle Mexican Grill,"33599 Aurora Rd, Solon, OH, 44139",44139
0SySGK7xWEHSo4ZLvD1C0A,KFC,"85 Blazier Dr, Pittsburgh, PA, 15237",15237
0Tiq09V_kdMFPa1cL6I0AA,Culver's,"2302 S Neil St, Champaign, IL, 61820",61820
0tsl6aGhI-4nJgeVRfC3HQ,Mr. Beaners Drive-Thru Weiners,"6520 Saltsburg Rd, Pittsburgh, PA, 15235",15235
0u2xwNy07-z3gv0tpuJX2Q,Subway,"3105 Antheo Ct, Murrysville, PA, 15668",15668
0uooVWLDOkqo3Of3g2LDTA,Subway Restaurants,"1360 S Cleveland Massillon Rd, Copley, OH, 44321",44321
0wUBRqU95D8URo5Ws4r5Qg,Steak n Shake,"7020 Aurora Rd, Aurora, OH, 44202",44202
0yFe_kQiynisvahzVuq6Mw,Burger King,"415 Home Dr, Pittsburgh, PA, 15275",15275
0Z_r3EFCyoPCHlnNwGBTtw,McDonald's,"547 Broad St, Elyria, OH, 44035",44035
0zM2EAsV1LNQZBeDWVV04g,Cooper Deli,"1408 Cooper Foster Park Rd W, Lorain, OH, 44053",44053
1_vzSC8IaHHMLg1d81KdjA,McDonald's,"8775 Mentor Ave, Mentor, OH, 44060",44060
108nrHD9k3qtJPJZE9xmoA,Five Guys,"500 S Park Ctr, Strongsville, OH, 44136",44136
145CBYKmq8mYiAA5ltPsRw,Dairy Queen,"35040 Royalton Rd, Grafton, OH, 44044",44044
14AWgEFR1bFK8rEhJwIvFA,Steak n Shake,"10330 Cascade Crossing, Brooklyn, OH, 44144",44144
14SWjEWYny10Cf27kgHpxA,Firehouse Subs,"3439 W Brainard Rd, Woodmere, OH, 44122",44122
-1ea69SVW-MJsaGQrA48dQ,Jimmy John's,"463 East Aurora Rd, Ste 500, Macedonia, OH, 44056",44056
1fMXFNFwZEtTy9p8sEmiNw,Taco Bell,"2300 Ardmore Blvd, Forest Hills, PA, 15221",15221
1g6pAWy0Zh-mPVG_XSspLQ,McDonald's,"1300 W Pleasant Vly, Parma, OH, 44134",44134
1GGLx6k4SgM-MykB5TTiJg,Culver's,"2102 W Beltline Hwy, Madison, WI, 53713",53713
1GXSjqOJPs4goR_g2YYV6A,Subway Restaurants,"8318 Tyler Blvd., Mentor, OH, 44060",44060
1Hhc1h5TETqtVMgasiimuQ,Subway Restaurants,"1429 W Main St, Sun Prairie, WI, 53590",53590
-1HW4ALuB331RgjwHOA0Nw,Wendy's,"4305 Kent Road, Stow, OH, 44224",44224
1JbrO_ZoY6a8R3llJHVzUQ,Taco Bell,"1000-1004 Ridge Ave, Pittsburgh, PA, 15202",15202
1LbvFwxbLepIpDasI-Pshg,Subway Restaurants,"1800 Euclid Ave, Cleveland, OH, 44115",44115
1N1pVa5SYqzopS0wvlAavw,Burger King,"5725 Heisley Rd, Mentor, OH, 44060",44060
1NpsjELTAt4jLl8bSqTArg,Chipotle Mexican Grill,"4416 Royalton Rd, Ste A, Brecksville, OH, 44141",44141
1ofeAP5vdjnOSeO5S2pzSg,Panda Express,"202 Robinson Center Dr, Pittsburgh, PA, 15205",15205
1P4VWKDPCNAyw_OSI56XWQ,Skyline Chili,"5706 Mayfield Rd, Lyndhurst, OH, 44124",44124
1q7bkDzXU6SyiyUcoHhziQ,Taco Bell,"5780 Broadview Rd, Parma, OH, 44134",44134
1qZ6yhqpbu-9rS05gMLKsQ,Dairy Queen,"2856 University Ave, Madison, WI, 53705",53705
1TGti2jN5PstqlHelBBfNw,Five Guys,"3845 Northern Pike, Monroeville, PA, 15146",15146
1uAZaTHYn9rqTFtOl3sDEQ,McDonald's,"33560 Aurora Rd, Solon, OH, 44139",44139
1V2Ybxav2sWxCeGx-VJQ7Q,Auntie Anne's Pretzels,"1222 Southpark Ctr Spc 9008, Strongsville, OH, 44136",44136
1v9TVINzMod7JfSQI7Aayw,Bombaychaat,"2044 Euclid Ave, Cleveland, OH, 44114",44114
1VscyiSo--uy5-ZDxHNZuQ,Arby's,"6192 Steubenville Pike, Mc Kees Rocks, PA, 15205",15205
1xEFOt8ArF0k4cpqWUk9gg,McDonald's,"4557 Ohio River Blvd, Pittsburgh, PA, 15202",15202
1xeyFW6daV8jdt3dM1nhqQ,Subway Restaurants,"2409 Village Green Place, Champaign, IL, 61822",61822
24t7-XcaR6yJi_20CPoB2Q,Sweetie Fry,"2307 Lee Rd, Cleveland Heights, OH, 44118",44118
25dhzDnHub7k7lerzP24jw,Jimmy John's,"18340 Bagley Rd, Ste A, Middleburg Heights, OH, 44130",44130
28UWP-8hZ_-6klybRdzqEQ,Subway Restaurants,"6500 Steubenville Pike, Pittsburgh, PA, 15205",15205
2anxB5OiLo_-eFh_o2j-rw,Chipotle Mexican Grill,"4137 William Penn Hwy, Monroeville, PA, 15146",15146
2BEJCBkNzOBXaydBJf5k0A,Sonic Drive-In,"601 N Mattis Ave, Champaign, IL, 61821",61821
2BKcHO7WQ0iGke6EBs_Dsg,Taco Bell,"600 W. Main Street, Waunakee, WI, 53597",53597
2Bv_LNfBqTmgXsnfE-uo2A,Subway,"34210 Aurora Rd, Solon, OH, 44139",44139
2cfzQGANxuIGcCUrlwnV7w,Popeyes Louisiana Kitchen,"3420 William Penn Hwy, Pittsburgh, PA, 15235",15235
2dTjaNEpiVeBAt6JLBQsOw,McDonald's,"9439 Sr 14, Streetsboro, OH, 44241",44241
2ggCa6Lfc3M2xtQwjwMPfg,Subway Restaurants,"16208 Madison Ave, Lakewood, OH, 44107",44107
2J0mx9CAcP01RpwQkdBcGw,Taco Bell,"2169 Deming Way, Ste 100, Middleton, WI, 53562",53562
2jwpM5qhFCf8rpW1LeG7lA,Jimmy John's,"4840 McKnight Rd, Ste C, Pittsburgh, PA, 15237",15237
2jzM7PSeG8OwZ5EvocCpQA,Chipotle Mexican Grill,"6717 Eastgate Dr, Mayfield Heights, OH, 44124",44124
2mjwx7w6IN_BoHG5iy8IGg,Subway Restaurants,"5900 Som Center Rd, #20, Willoughby, OH, 44094",44094
2mroQ_qD_5kLTv88zADnXg,McDonald's,"2224 Warrensville Center Rd, University Heights, OH, 44118",44118
2MxoDbw9-RtTBlQkFXAHmw,Mr. Hero,"6815 Royalton Rd, North Royalton, OH, 44133",44133
2pWpFiaAY_RYqx-sVqLlRg,McDonald's,"21675 Center Ridge Rd, Rocky River, OH, 44116",44116
2Q5MJgaMBPDGpbd2z8SIng,Rally's,"14911 Snow Road, Cleveland, OH, 44142",44142
2rQ5qZfQuUlP4KOQdgcrKw,Swensons Drive-In,"14510 Cedar Rd, Cleveland, OH, 44122",44122
2Sn5VxuA4-TTUbbshZ5kDg,Chipotle Mexican Grill,"24369 Cedar Rd, Lyndhurst, OH, 44124",44124
2syRDb5oz8KUcI6KNS6ltg,Burger King,"5760 Ridge Rd, Parma, OH, 44129",44129
2UCzVYukzHitLxHvwr8Kqg,Wendy's,"103 Northtowne Square, Gibsonia, PA, 15044",15044
2VKTqusI8tUkPB3exQQrGw,Jimmy John's,"7701 W Ridgewood Dr, Parma, OH, 44129",44129
2VLvKcrOzuLkWW4G-wVgzA,Culver's,"1700 Springdale St, Mount Horeb, WI, 53572",53572
2WVNZiLZQqzVZchyPpr7Wg,McDonald's,"5301 Pearl Rd, Parma, OH, 44129",44129
2xQexEwq1WQoNeSTyrUTEw,Sonic Drive-In,"2611 Washington Rd, North Strabane Township, PA, 15317",15317
2YEH1kh6qKJKH9zaRbMW5w,Jimmy John's,"7338 Mentor Ave, Mentor, OH, 44060",44060
2ySggR1WGE4A4cD03akTcQ,McDonald's,"1069 N Court St, Medina, OH, 44256",44256
3_B0wzo2p5tVU8zGiRNMCg,McDonald's,"430 Water St, Chardon, OH, 44024",44024
30Bvo-tEfvh2KOTLQg6FZw,Subway Restaurants,"3707 Forbes Ave, Pittsburgh, PA, 15213",15213
37srKuggiC-LF2kTE6NmWw,Firehouse Subs,"36161 Euclid Ave, Willoughby, OH, 44094",44094
384vp5K1dC8Ten-1GBKOug,GetGo,"998 Hayden Blvd, Elizabeth, PA, 15037",15037
3a1w3Ufs9CCC3GJTAV8EpQ,McDonald's,"4500 University Ave, Madison, WI, 53705",53705
3C_S1j70o3nYJUTvnVo7dQ,Arby's,"509 N Cunningham Ave, Urbana, IL, 61802",61802
3Cbl3_Lm1ahwxbBvq--rFg,Gianni's Pizza - Hankey Farms/Oakdale,"7780 Steubenville Pike, Oakdale, PA, 15071",15071
3dnF0DnQX0PqRb8wDyMJkA,McDonald's,"3115 Center Rd, Brunswick, OH, 44212",44212
3drQZjrvh8EOJe5aSwYE5w,Pita Pit- Fairview Park,"3520 Westgate, Fairview Park, OH, 44126",44126
3FiXYmJUE9Sw1OvLBr7Bcg,Subway Restaurants,"11110 Kinsman Road, Newbury, OH, 44065",44065
3GjbxmFkWEI3jpDzCSyDeA,Penn Station East Coast Subs,"746 Aurora Rd, Macedonia, OH, 44056",44056
3i2BNJh9699mZ9wzRFR2QA,Chick-fil-A,"4779 Great Northern Blvd, North Olmsted, OH, 44070",44070
3IobmJr-mqkF3l0hChAFcQ,Taco Bell,"13660 Euclid Avenue, East Cleveland, OH, 44112",44112
3jKaeGaw_iVz1oEqpoRqsQ,Applebee's Grill + Bar,"4296 Kent Rd, Stow, OH, 44224",44224
3KSkzVKvlmjWo8-_Aev9Sg,Gyros and Wraps,"25680 Aurora Rd, Bedford, OH, 44146",44146
3kSVpKOk309sOuU2MvI9uA,Subway Restaurants,"222 Smokerise Dr, Wadsworth, OH, 44281",44281
3KzzG6dw5aN9eIo3cGHaSA,Steak n Shake,"5051 Som Center Rd, Willoughby, OH, 44094",44094
3LuQTKKb4DgS4nqL3UFyig,Subway Restaurants,"300 Mt Lebanon Blvd., Castle Shannon, PA, 15234",15234
3m0zRYrBHtZyCRZneh15hw,Arby's,"2670 Creekside Dr, Twinsburg, OH, 44087",44087
3pDVa7t5kNNAkJTPt1lOsg,Culver's,"916 Nygaard St, Stoughton, WI, 53589",53589
3ukqpcOyqv-KYLULRtEYEw,Pizza Bianca,"2001 Lincoln Way, White Oak, PA, 15131",15131
3UmRALCmHnforCjGXV8rFw,Madtown Chicken N' Fish,"6718 Raymond Rd, Madison, WI, 53719",53719
3vZ8ECJuiEZIuDv7OQ2NHw,McDonald's,"11580 Euclid Ave, Cleveland, OH, 44106",44106
3WM_jqSaMju2zEGYLK5HPQ,Burger King,"4095 State Rd, Cuyahoga Falls, OH, 44223",44223
3XBN60tLWqr7WZuDZsyZkA,McDonald's,"6400 Macedonia Commons Blvd, Macedonia, OH, 44056",44056
3zPlIl3EtYAAV1EG0kPg4g,Taco Bell,"3887 Washington Road, McMurray, PA, 15317",15317
401Ma310RUt_Vdl7DmCNYA,Popeyes Louisiana Kitchen,"5901 Highway 51, DeForest, WI, 53532",53532
42rDLL6vNJ5w66Ccj6a5XQ,McDonald's,"3782 W 150th St, Cleveland, OH, 44111",44111
46F7TUZ84GrDgZvkPPuL_Q,Popeyes Louisiana Kitchen,"2844 Fish Hatchery Rd, Fitchburg, WI, 53713",53713
49JTxfrT4BnROuk9_RIW6w,KFC,"4802 Annamark Dr, Madison, WI, 53704",53704
4AxW2xYpZker9biX6Bg38Q,Jersey Mike's Subs,"1155 Washington Pike, Bridgeville, PA, 15017",15017
4Cj7zLIU47UY21yjdBGdtQ,A&W Restaurant,"4505 Lake Cir, Windsor, WI, 53598",53598
4FdXVA-WxWwc5rmjRPJVnQ,McDonald's,"4502 E Washington Ave, Madison, WI, 53704",53704
4fJucVBPoEwpi5h9eHTbjg,Arby's,"972 Graham Rd, Cuyahoga Falls, OH, 44221",44221
4kbxhv8dcNHQw5YYjSC3oQ,Dairy Queen Grill & Chill,"3030 Fish Hatchery Rd, Fitchburg, WI, 53713",53713
4PxeFwWzGW5PnUkknwen3g,Wendy's,"14015 Lorain Ave., Cleveland, OH, 44111",44111
4r4-lOJp1Zw6vFqw4Oihbg,Steak n Shake,"9545 State Route 14, Streetsboro, OH, 44241",44241
4Seo-FWzhRLgxFcwWiYlMA,Firehouse Subs,"27045 Lorain Rd, North Olmsted, OH, 44070",44070
4SGa5HFu7Q4rrsAAWJa-ew,Popeyes Louisiana Kitchen,"910 W Bloomington Rd, Champaign, IL, 61821",61821
4t8o25f4-fCt3cVzzNM1-w,Long John Silver's,"2220 Lebanon Church Rd, West Mifflin, PA, 15122",15122
4tc3kLlLuiolIP4jJslYYw,Deon's Restaurant,"6218 Superior Ave, Cleveland, OH, 44103",44103
4uS3BblH63PqikgUCnyEcA,McDonald's,"6225 Mayfield Rd, Mayfield Heights, OH, 44124",44124
4w3CXzYFboPjsjDHIXyVLg,Chipotle Mexican Grill,"8195 Golden Link Blvd, Macedonia, OH, 44067",44067
4WGhJKDcOccXhftoAwagJw,Popeyes Louisiana Kitchen,"6876 Macedonia Commons Blvd, Macedonia, OH, 44056",44056
5_a8VF9MQ2rkNg7GR8MGfg,Culver's,"4700 Farwell St, Mc Farland, WI, 53558",53558
50pVtN734QXvtRh6IDiapw,Chick-fil-A,"1000 Airport Blvd, Pittsburgh, PA, 15231",15231
52J2qJTmfy2NWnQKiUgYBQ,Blaze Fast-Fired Pizza,"9571 Mentor Ave, Ste B, Mentor, OH, 44060",44060
53yL2qRT4dBKd_bt02tcJQ,Jimmy John's,"165 E Main St, Kent, OH, 44240",44240
55vuAN7sjg9QknIGB21FGA,Subway Restaurants,"4174 Wheatley Rd, Ste 700, Richfield, OH, 44286",44286
56731_C-5MmSxdCtNnhUDw,Taco Bell,"4866 County Highway V, De Forest, WI, 53532",53532
5CjdVHY504ccwZ2n3uyPOA,McDonald's,"549 Clairton Blvd, Pittsburgh, PA, 15236",15236
-5DifC-lAFioAD_DLVgTMQ,Firehouse Subs Mineral Point,"7854 Mineral Point Rd, Madison, WI, 53717",53717
5F_uIksIlZnL4D_U9pvRrg,Hounds Hotdogs & Gyros,"6851 W 130th St, Parma Heights, OH, 44130",44130
5g4TpsGFDQsu4nKuWQCjPQ,Subway Restaurants,"7360 Chippewa Rd, Brecksville, OH, 44141",44141
5h3-2mrhtu5EnGCcW2z6gA,Subway Restaurants,"9224 Darrow Rd, Twinsburg, OH, 44087",44087
5HqV_R703e6jRhFVBAxhDQ,Arby's Roast Beef Drive-In,"1630 E Main St, Kent, OH, 44240",44240
5indH5UpallkkTNmXTMn7w,Popeyes Louisiana Kitchen,"14747 Lorain Ave, Cleveland, OH, 44111",44111
5l3rL215ePgdxCnhXHGCEQ,McDonald's,"415 Midway Blvd, Elyria, OH, 44035",44035
5oA6zlmJ4jQREDH6dNCq6w,The Alcove,"875 Greentree Rd, Ste 106 Bldg 4, Pittsburgh, PA, 15220",15220
5p8Urv8-h9JhjIrhk7QRIA,Jimmy John's,"4416 Royalton Rd, Ste B, Brecksville, OH, 44141",44141
5qK-Tjo3jJLHOSgvtMcmSg,McDonald's,"5745 Heisley Rd, Mentor, OH, 44060",44060
5sEcWQd9-LqRvE98ouEILA,Subway Restaurants,"2813 N Sherman Ave, Madison, WI, 53704",53704
5tlgP7QIvur0lZdPHVhc5w,Chick-fil-A,"4001 Richmond Rd, Warrensville Heights, OH, 44122",44122
5VA4XYx2lbA2RTe9xuLZUw,Dairy Queen,"3900 Golden Mile Hwy, Murrysville, PA, 15668",15668
5VLwQAIheQwmpusFa-tC6w,Chipotle Mexican Grill,"1614 Cochran Rd, Pittsburgh, PA, 15220",15220
5VwUFfGpIWPe_W9A64lmtA,Five Guys,"8249 W Ridgewood Dr, Parma, OH, 44129",44129
5WMIvoMx3l1vn1uJ3HZB6Q,Subway Restaurants,"411 Seventh Ave, Pittsburgh, PA, 15219",15219
5wyCSyKqUCjRZKDaWX_fmQ,Wendy's,"1374 Som Center, Mayfield Hts., OH, 44124",44124
5x0yRV0ds9IN1ZIlo3XJ6g,Pizza Hut,"1903 S Taylor Rd, Cleveland Heights, OH, 44118",44118
5XLuRoXqafFY_GAQ0D8dWw,Olive Garden Italian Restaurant,"26000 Harvard Rd, Beachwood, OH, 44122",44122
5XSmSsHpQI5hvB90URhJtQ,Denny's,"1798 Thierer Rd, Madison, WI, 53704",53704
5xv0xjcRUzP-Zb6CKBOceQ,KFC,"4915 Baum Blvd, Pittsburgh, PA, 15213",15213
5yvmtyb3KH1UqKy05HpDSw,Five Guys,"15171 Pearl Rd, Strongsville, OH, 44136",44136
5z_9_D5a-tgkmPUps7Utow,Winner's Fast Food,"3725 Forbes Ave, Pittsburgh, PA, 15213",15213
628e-765wk51Q0diAuLbuQ,McDonald's,"5114 Northfield Rd, Maple Heights, OH, 44137",44137
63iOXcDVSr8Jm0C8mjzo6g,McDonald's,"1 Poplar St, Pittsburgh, PA, 15205",15205
65hBODeVEvHwi6jWMhR1ww,Jimmy John's,"836 W St Clair Ave, Cleveland, OH, 44113",44113
66-KwrVLQonWugvwsgN-YA,Burger King,"10260 Brookpark Rd, Cleveland, OH, 44130",44130
6aFrBN7Wr1XNS76U_GZ2yw,Subway Restaurants,"27237 Wolf Rd, Bay Village, OH, 44140",44140
6d82R41sVNDVS0I-c1Ghkg,Portillo's Hot Dogs,"2306 N Prospect Ave, Champaign, IL, 61822",61822
6dDItJbFIwYCmoLZF3iTcg,Popeyes Louisiana Kitchen,"3616 5th Ave, Pittsburgh, PA, 15213",15213
6dDrLNa3_fx9E4lfKHtuig,McDonald's,"25700 Detroit Rd, Westlake, OH, 44145",44145
6drsZVhOdG9i861OrOUw4w,McDonald's,"13705 Euclid Ave, East Cleveland, OH, 44118",44118
6h5UmbIV4HPFj5bklXj75w,McDonald's,"1540 E 55th St, Cleveland, OH, 44103",44103
6iZhmEXeGf4Hc9PF1a9pTQ,Jimmy John's,"2376 Jackson St, Stoughton, WI, 53589",53589
6Ko0igIzIFQgA3ejrXC3VQ,Mr. Hero,"27315 Detroit Rd, Westlake, OH, 44145",44145
6mgsljkXCDL9PbHNDmCjhg,Taco Bell,"6030 Enterprise Drive, Solon, OH, 44139",44139
6mhJ1K77mbiHhWkFQDF-zw,Arby's,"6395 Royalton Rd, North Royalton, OH, 44133",44133
6MkQ454ElyTcMrMLU3qm3g,Five Guys,"2253 Zeier Rd, Madison, WI, 53704",53704
6ObhHav156dwof2qHvUj3g,Subway Restaurants,"7714 Penn Ave, Pittsburgh, PA, 15221",15221
6oOIpBNo0h3hrtx8aFCv6g,Rally's,"4000 Mayfield Road, South Euclid, OH, 44121",44121
6qAChWfCZVDvXNtcyhze-g,McDonald's,"101 Hoffman Blvd, Duquesne, PA, 15110",15110
6S0mvMocUHY6g1rIQWKM_w,Five Guys,"1237 Som Center Rd, Mayfield Heights, OH, 44124",44124
6sqfAMlX68kusvE_FsIr-w,Jimmy John's,"501 Grant St, Ste. 140, Pittsburgh, PA, 15219",15219
6tkx1vYUJpj-dv588NcO_Q,McDonald's,"1582 Mentor Ave, Painesville, OH, 44077",44077
6VWmXeUDmMvVhb8zqWti-w,Wendy's,"1125 Washington Pike, Bridgeville, PA, 15017",15017
6XkWMEJc3ecJH6HKKjfclA,Jimmy John's,"240 Euclid Ave, Cleveland, OH, 44114",44114
6yOvfTHmxFJtQQKLjJ4WqA,Denny's,"1829 Lincoln Hwy, North Versailles, PA, 15137",15137
70nmPKnAufzeKfRNVE0-Pg,Hong Kong Wok,"702 N Midvale Blvd, Ste 120, Madison, WI, 53705",53705
