name,business_id,star_y,BikeParking,Caters,NoiseLevel,OutdoorSeating,RestaurantsDelivery,RestaurantsTableService
Chipotle Mexican Grill,dCPyV8XCEyE7pyUgzOCDKA,3.5,TRUE,TRUE,average,TRUE,FALSE,NA
McDonald's,vcV1q5onsIMFhOBxwNow7A,2.5,NA,FALSE,loud,NA,TRUE,NA
4B Cafe,qou7HXpSiGdNzSmxhf59XA,4,NA,NA,quiet,FALSE,FALSE,NA
Taco Bell,n0gAJPW7-H9cS71FC5dSqg,3,FALSE,FALSE,quiet,FALSE,TRUE,FALSE
Burger King,9z7Nlp24nc4nUbtaQDKOAQ,3,NA,NA,NA,NA,TRUE,NA
Arby's,8GHYb_wgp2eYPHsNvWrOVQ,2.5,NA,NA,quiet,NA,NA,NA
McDonald's,2ySggR1WGE4A4cD03akTcQ,3,NA,FALSE,quiet,FALSE,TRUE,NA
Wingin Out,CKqHfvcqx73-Uz0xGMHL6Q,2.5,TRUE,TRUE,loud,FALSE,TRUE,NA
Jimmy John's,65hBODeVEvHwi6jWMhR1ww,2.5,NA,TRUE,average,TRUE,TRUE,TRUE
KFC,Dz5cc8BKyHc_8pUTxbCXkA,2.5,NA,FALSE,NA,NA,TRUE,NA
Panda Express,G4JLnk8TkeAhZ71V4Pof8A,3,NA,NA,average,NA,TRUE,FALSE
Jimmy John's,n4J24P38xDD94slTrcp7qA,4,NA,TRUE,NA,NA,TRUE,NA
McDonald's,Qwo5XmriFv2KAcNUwxl6_A,2.5,NA,NA,NA,NA,TRUE,NA
Panda Express,owV0aSgh4t_9aG56iPxGEw,2.5,TRUE,FALSE,average,TRUE,FALSE,FALSE
The Red Caboose,cWPk6POuAaK8eYrwZVt5TQ,4.5,TRUE,NA,quiet,TRUE,FALSE,NA
Steak n Shake,fl2TPNWrchkCbNEg0utjvw,2,TRUE,NA,average,FALSE,TRUE,NA
Wendy's,YYEm5MR6HMCQYI0k1wVnXA,1.5,FALSE,FALSE,average,FALSE,FALSE,NA
Max & Erma's,C3Z5nHWtpalpMJDWWqurcw,3,TRUE,TRUE,average,FALSE,FALSE,NA
McDonald's,j-cWaWDwmAeZZGSEERIcaQ,3,TRUE,TRUE,average,FALSE,TRUE,FALSE
Subway Restaurants,DN7fUnbXuvasM0JU8Ii7aQ,3.5,NA,NA,NA,NA,NA,NA
Popeyes Louisiana Kitchen,PXJH9H6fJslcNYHnVTgFCQ,2.5,FALSE,FALSE,average,FALSE,FALSE,NA
Wendy's,Uc2PqdAPWPMxe6_YHB4wHQ,2,NA,NA,NA,FALSE,FALSE,NA
Quiznos,fu_holJh_R4kZklLnJZbtw,5,NA,TRUE,NA,NA,FALSE,NA
Penn Station East Coast Subs,ZsXooo1ndVmHWb9KZfvkaQ,4,TRUE,TRUE,average,FALSE,NA,FALSE
Auntie Anne's,clmjilkPbjl3B5qRSHB1rQ,2.5,NA,NA,NA,NA,NA,NA
McDonald's,cprIQ1e2be5LD7jpPEyiSw,3,TRUE,FALSE,quiet,FALSE,FALSE,NA
Potbelly Sandwich Shop,WZNW2rL5BSL4JdHe2Np2Qw,3,FALSE,TRUE,average,FALSE,TRUE,NA
McDonald's,7dnXdS-vLMqGogRmTUi76A,2,NA,NA,NA,NA,FALSE,NA
McDonald's,#NAME?,2.5,NA,NA,NA,NA,NA,NA
McDonald's,nwjIvTxJt2GpMoKzuKWIBQ,2,NA,FALSE,average,FALSE,TRUE,NA
Taco Bell,9en49YH_NJmTOUqN2GO8LA,2,TRUE,FALSE,average,FALSE,TRUE,NA
Subway Restaurants,ZjJzuxjpOTAPWTFbaX06ew,2.5,NA,NA,average,FALSE,FALSE,NA
Arby's,WkHVtY5voeLCvv61klhUnA,3,TRUE,FALSE,quiet,FALSE,FALSE,FALSE
Subway Restaurants,6aFrBN7Wr1XNS76U_GZ2yw,3,NA,NA,NA,NA,NA,NA
Taco Bell,2J0mx9CAcP01RpwQkdBcGw,2.5,TRUE,TRUE,average,FALSE,TRUE,NA
Wendy's,nrxmMlgoiScXTLIGzv3o5Q,1.5,FALSE,FALSE,quiet,FALSE,FALSE,NA
Burger King,avgWQOnKiRAoJiG4RMDeiQ,2,NA,NA,NA,FALSE,NA,NA
Subway Restaurants,iDuwJjTE5Sw_bb3aFSTBCg,3,NA,NA,NA,NA,FALSE,NA
Chick-fil-A,9mYjIQ-9DKMuR8kM5M2gtw,4,NA,NA,average,NA,FALSE,NA
Burger King,8r9G0fUJpCFnbFWMdzzdMw,1.5,NA,NA,NA,NA,TRUE,NA
McDonald's,CxvirkRLRYaspG6GKn73YQ,1,NA,NA,NA,FALSE,FALSE,NA
Subway Restaurants,2ggCa6Lfc3M2xtQwjwMPfg,3,FALSE,TRUE,average,FALSE,NA,NA
McDonald's,Na4PriVltR13E48ZdVRl6A,3.5,NA,NA,NA,NA,TRUE,NA
Dairy Queen,vUf4Zs8vaZy8-GU-Yi4H6A,3,TRUE,NA,NA,TRUE,FALSE,NA
McDonald's,CfwrsG76Wm4iLS22v_wAcg,2.5,NA,NA,loud,FALSE,TRUE,NA
Subway Restaurants,yBTdIuZsQIbyZKn4i8n76A,1.5,NA,NA,NA,NA,NA,NA
Taco Bell,2BKcHO7WQ0iGke6EBs_Dsg,2,TRUE,FALSE,average,NA,FALSE,NA
Wendy's,n8tzdLv8oREwZF6e8u7Hkw,2,FALSE,FALSE,average,FALSE,FALSE,NA
Wendy's,4PxeFwWzGW5PnUkknwen3g,1.5,NA,NA,NA,NA,NA,NA
Burger King,PHJpAJUUzNOpKgsJgjzuww,2.5,NA,NA,NA,NA,NA,NA
KFC,t6tGkwfyFKKyvzTHpy_png,2.5,NA,FALSE,average,FALSE,FALSE,NA
Backdraft Bar & Grille,R13eqiLCi9m76DIaDCt7eA,4,NA,NA,NA,NA,TRUE,NA
McDonald's,CP7TRCpeBr1sTtWqcfRHxQ,2,FALSE,FALSE,quiet,FALSE,TRUE,NA
Chipotle Mexican Grill,9qqhdkN4aeE6yvUiKg4F0Q,2.5,FALSE,TRUE,average,TRUE,FALSE,FALSE
Popeyes Louisiana Kitchen,401Ma310RUt_Vdl7DmCNYA,2.5,NA,NA,NA,NA,FALSE,NA
Chipotle Mexican Grill,o7aBPJhTR-R4TccTSfu-Ng,2,TRUE,TRUE,loud,FALSE,FALSE,TRUE
Steel City Diner,KSw3FAh5d5Q3PdFO1Gevmw,3,NA,NA,NA,NA,NA,NA
Subway Restaurants,3LuQTKKb4DgS4nqL3UFyig,1.5,NA,NA,NA,NA,NA,NA
Wendy's,lT4-nAyBJE2NJvi_dGwU5Q,1.5,NA,NA,NA,NA,NA,NA
Subway Restaurants,YTNgCm8-TlyLvkBXCGxeMg,2.5,NA,TRUE,quiet,FALSE,FALSE,NA
Popeyes Louisiana Kitchen,YEl2auKIbh2W9dUtFft-qA,1.5,NA,NA,NA,FALSE,FALSE,NA
Five Guys,108nrHD9k3qtJPJZE9xmoA,3.5,FALSE,FALSE,average,TRUE,FALSE,NA
Tilted Kilt Pub & Eatery,940rOS3vKpqJMKtrsoatTA,2.5,NA,NA,NA,TRUE,NA,NA
Wendy's,tLpkSwdtqqoXwU0JAGnApw,3.5,NA,FALSE,average,FALSE,FALSE,NA
KFC,IhgJLOO3NMU1pzH6cyFKDg,5,FALSE,FALSE,average,NA,FALSE,NA
Burger King,0DeOsUXPoxtfCzHJg76R-Q,3,FALSE,NA,NA,TRUE,FALSE,NA
Fernando's,hZzwkAJG92KkszWO8PoOQA,4,NA,NA,average,FALSE,NA,NA
Wendy's,XkA8scf2M_-CirepJSACXg,3.5,NA,NA,loud,TRUE,FALSE,NA
Earl's Dairy Whip,KWYZJbxBioJwsxJysdUG9g,4,TRUE,FALSE,NA,NA,NA,NA
Subway Restaurants,XqCBjmrmu8pNgADsKXo8vA,2.5,TRUE,TRUE,quiet,FALSE,NA,NA
KFC,LublHLftDDT9-RRDU2nv3Q,3,NA,FALSE,average,FALSE,FALSE,NA
Subway Restaurants,OOThzIpIiCRok8zaN0NPwQ,3,TRUE,TRUE,average,FALSE,FALSE,NA
KFC,NwWd3HpXXMRYFdyDFG8jkA,3,NA,TRUE,NA,NA,TRUE,NA
McDonald's,v3kXkK9ga8jfgetr0Hb5Eg,2,NA,NA,NA,NA,TRUE,NA
Subway Restaurants,zGAefi9-EH2DipsqipaOag,4,NA,TRUE,average,FALSE,NA,NA
Arby's,t6ZOV444ggSYL0BaeAbx0Q,3.5,FALSE,NA,quiet,FALSE,FALSE,NA
Subway Restaurants,oRBHoK2gnLTzcc71oQeQsg,3,NA,TRUE,quiet,FALSE,TRUE,NA
Sheetz,S9KZksiBeXvTs7qZ235v9g,4,NA,FALSE,NA,TRUE,FALSE,NA
Subway Restaurants,MwsLN3Lo2SEbldy0HvBYEw,2.5,TRUE,NA,NA,FALSE,FALSE,NA
Subway Restaurants,L6uLN1hGa7cTWtZ3VfB-HA,2,NA,NA,NA,NA,NA,NA
Dairy Queen Orange Julius,FKtVtuM5vg1YN3Yn5yF1tA,1.5,NA,NA,NA,NA,NA,NA
Dairy Queen,DY0svJCn6a6oNWbJzqaVoA,3,TRUE,FALSE,NA,TRUE,NA,NA
McDonald's,-8PU0Z4Q2Nc-sY0eBj4DiQ,1,TRUE,FALSE,average,FALSE,TRUE,NA
Dairy Queen Grill & Chill,IBa73HTOPcKkRw4wennYaQ,3.5,FALSE,FALSE,NA,TRUE,NA,NA
Subway,gEEAZp22M1IpkLnsnIhpyg,2.5,NA,NA,NA,NA,NA,NA
Subway,2Bv_LNfBqTmgXsnfE-uo2A,2.5,NA,NA,NA,NA,FALSE,NA
Subway Restaurants,aYoeWXcFXu2BsWuYIMd6Ow,2,NA,NA,NA,FALSE,TRUE,NA
Subway Restaurants,EdYYCH_lGk85y_meo5TNNQ,1.5,NA,NA,NA,NA,FALSE,NA
Chipotle Mexican Grill,72Ptc5rl771CKsE0uZ2INQ,2.5,NA,NA,NA,NA,NA,NA
Subway Restaurants,ETBF75ioO4JBnQoRTvHOsQ,1,NA,TRUE,NA,NA,TRUE,NA
Panda Express,WTluJrwTxVxZkXovV6cnnQ,3,NA,NA,NA,NA,TRUE,NA
KFC,t9BPvhkUakhvr3TWDw-mXA,3,NA,TRUE,NA,NA,TRUE,NA
Jimmy John's,cOAG9-d6fpbizZlVPd11xA,3,NA,TRUE,NA,NA,TRUE,NA
McDonald's,n3AHTASqE5QCfuq0AQpT5Q,1.5,NA,NA,NA,NA,TRUE,NA
Fossil Fuels Caf,lvZOJWiwNymeBhOAgoy11w,3.5,NA,NA,NA,FALSE,FALSE,NA
McDonald's,AlNp5mSR8N7rAvONm8BXBQ,1.5,NA,NA,NA,NA,TRUE,NA
Taco Bell,xTKcIQ90mluHH0HGO-sVig,3.5,NA,NA,NA,NA,FALSE,NA
Subway Restaurants,mUnCBLAKmKU56V3pIaXm-Q,2.5,NA,NA,NA,NA,TRUE,NA
Deon's Restaurant,4tc3kLlLuiolIP4jJslYYw,3,NA,NA,NA,FALSE,None,NA
Jimmy John's,-1ea69SVW-MJsaGQrA48dQ,2,FALSE,TRUE,average,FALSE,TRUE,FALSE
Chipotle Mexican Grill,#NAME?,3.5,FALSE,TRUE,very,TRUE,TRUE,FALSE
Burger King,BX-JlaAowcQ5FpPsS4d9rg,1.5,FALSE,FALSE,average,FALSE,FALSE,NA
Rally's,#NAME?,3.5,NA,NA,NA,TRUE,FALSE,NA
Jimmy John's,uf8WNaHKKssMUbQVg8nJ7g,2.5,TRUE,TRUE,loud,TRUE,TRUE,NA
Mr. Chicken,eojBqWSuTXwFhrvVhTqVcA,2,TRUE,FALSE,average,None,TRUE,FALSE
Swensons Drive-In,fNAdDV7HCYnq6P69UGl7kg,4.5,TRUE,TRUE,quiet,TRUE,FALSE,TRUE
Chipotle Mexican Grill,4w3CXzYFboPjsjDHIXyVLg,2,FALSE,TRUE,average,TRUE,FALSE,NA
Salad Creations Madison,y1H7Q7rN9JmySXvwDVYD8A,2,NA,None,quiet,FALSE,TRUE,NA
Cha Spirits & Pizza Kitchen,haGstZfcH0IeRPncH2oFPQ,3.5,TRUE,TRUE,average,TRUE,TRUE,TRUE
McDonald's,HfNgywD3im9Im5n7hG-9qA,1,NA,NA,NA,NA,FALSE,NA
The Place To Be,pc8Zn3nuwm4o91vZgXTubA,4,TRUE,FALSE,average,FALSE,FALSE,TRUE
Dairy Queen,cEtvNfDOSjvT7k_-fe8ISQ,3.5,FALSE,NA,NA,NA,NA,NA
Jimmy John's,F0su0DtTPhlgfAy0C-3JVw,2.5,NA,TRUE,NA,NA,TRUE,NA
Arby's Roast Beef Drive-In,5HqV_R703e6jRhFVBAxhDQ,3,TRUE,FALSE,average,FALSE,FALSE,NA
Pita Pit,V33QuCrynemAzfzC3eChoA,4,FALSE,TRUE,average,FALSE,TRUE,NA
Sonic Drive-In,tB0zkiCxLjJwEPCRmwlVrA,2.5,TRUE,FALSE,quiet,TRUE,TRUE,FALSE
Taco Bell,tvESBMlJsaARw6hXoRCdjQ,1,NA,NA,NA,NA,TRUE,NA
Steak n Shake,nLN2hd7HFsehntXl3VUkhg,1.5,TRUE,FALSE,average,FALSE,FALSE,NA
Hong Kong Wok,70nmPKnAufzeKfRNVE0-Pg,4,NA,NA,NA,FALSE,FALSE,NA
Culver's,8u6wAMmTMdJskMGLYo-5Iw,4,FALSE,FALSE,average,TRUE,FALSE,NA
Culver's,R8L9VLO5jHfzPA5rHiujIA,3.5,TRUE,FALSE,average,TRUE,FALSE,FALSE
Wendy's,jf_N8zWp30usaMLXdJs9Jg,1.5,FALSE,FALSE,average,FALSE,FALSE,NA
Subway Restaurants,gg2P2mTgHhWrpjPh3X85zA,2.5,NA,NA,average,NA,NA,NA
Chick-fil-A,DTsCHmHjqWXBCzAkg0YzAA,4,TRUE,FALSE,average,TRUE,FALSE,FALSE
Firehouse Subs Mineral Point,-5DifC-lAFioAD_DLVgTMQ,3.5,TRUE,TRUE,average,TRUE,TRUE,NA
KFC,LeqYXawjMwTf9x9Hx73R9A,1.5,NA,FALSE,NA,FALSE,FALSE,NA
Seti's Polish Boys,pcs7jXj_mvuLQq6DQ3Ggcg,4,TRUE,TRUE,average,TRUE,FALSE,NA
Denny's,03W4GFc3Ll01kxI7BPxRww,2.5,FALSE,FALSE,average,FALSE,TRUE,TRUE
Burger King,LOARujcfx-Ty_RUlcnYspg,1.5,TRUE,FALSE,average,FALSE,TRUE,NA
Mr Hero,uanNv8sJLEw3rUpqdiR8Rg,4,FALSE,NA,NA,NA,FALSE,NA
Chopsticks Express,AV72aytrW-z787seJAku2w,4,FALSE,TRUE,average,FALSE,TRUE,FALSE
Potbelly Sandwich Shop,QJOr35t_jz9OPQ6IczMGJA,3,TRUE,TRUE,quiet,FALSE,TRUE,NA
Wendy's,kEbdBwyqucFNNi0iCEmmPA,2,NA,FALSE,average,FALSE,FALSE,NA
Potbelly Sandwich Shop,vBMAdtlABJ1qb1ryaeOugA,4,TRUE,TRUE,average,FALSE,TRUE,NA
Culver's,OrX0D6xwxmymxfzWRatT7Q,3.5,TRUE,NA,average,TRUE,TRUE,NA
QDOBA Mexican Eats,e_3WKT-JRqI_raNpphkQzw,3.5,NA,TRUE,NA,FALSE,FALSE,NA
Wendy's,lRfteK8D_8pfoFTk4ZuOqw,1,TRUE,FALSE,very,FALSE,FALSE,NA
Chipotle Mexican Grill,T1lOHMIas_PSflKY7duF_g,3,TRUE,TRUE,loud,TRUE,FALSE,NA
Five Guys,Is-_AVNBzjTWwB6uq0c5GA,3.5,NA,FALSE,NA,NA,TRUE,NA
KFC,9qPEpiKhl0V_RIbYziwJ_g,2,TRUE,TRUE,NA,FALSE,FALSE,NA
McDonald's,1g6pAWy0Zh-mPVG_XSspLQ,2,TRUE,TRUE,average,FALSE,TRUE,NA
Popeyes,GgjzC6Ki7i4i_RG8pPVZnw,3.5,NA,FALSE,loud,FALSE,FALSE,NA
Subway Restaurants,xwEYTGJ_82ScbpXcheqqQw,3,NA,NA,quiet,FALSE,FALSE,FALSE
Rally's,iJi9uluA-hFNc75lMYXSsA,2.5,NA,FALSE,average,TRUE,FALSE,FALSE
Chipotle Mexican Grill,aHDJO8v0WfTRSE2NblNpDw,2,TRUE,TRUE,average,TRUE,FALSE,NA
Chipotle Mexican Grill,ql2_5j1uHFoiP08wud6VNw,2,NA,NA,NA,NA,FALSE,NA
Subway,zVcQuL6XvUL3Ut1i4vt7_g,3,NA,NA,NA,TRUE,FALSE,NA
Daboro's,bdEB4XvUqhXSwzClNaOi0A,4,FALSE,TRUE,quiet,NA,NA,NA
Wendy's,KKOmfySnxK96EtlgOU9Hjg,2,FALSE,NA,NA,NA,FALSE,NA
Long John Silver's,EqDPh81h0giWRO4FxskP9A,2,NA,NA,NA,NA,FALSE,NA
Jimmy John's,25dhzDnHub7k7lerzP24jw,2.5,NA,TRUE,average,NA,TRUE,NA
Burger King,E7TOyAtKL06CJp8SSM9WXg,2,FALSE,FALSE,average,FALSE,FALSE,NA
Taco Bell,#NAME?,3.5,FALSE,NA,NA,NA,TRUE,NA
Bob Evans,H-xe5Q4APIeQ-GCKvZ-odQ,2.5,TRUE,TRUE,average,FALSE,TRUE,NA
McDonald's,UTodxk-Mjmvf_Zc7f5pdTw,1.5,NA,NA,NA,TRUE,TRUE,NA
Taco Bell,VVitum45kCla5xkyclh4uA,2,TRUE,NA,average,FALSE,FALSE,NA
McDonald's,x_0Vf8AVBk_auLnNHRjoVA,2.5,TRUE,FALSE,very,TRUE,TRUE,FALSE
Taco Bell,Mc9sMBVNi53lqxHLCiLWiA,2.5,NA,NA,NA,FALSE,NA,NA
Five Guys,Dr9LOH9UVaWmPh1Gkh6VkQ,4.5,FALSE,FALSE,very,TRUE,TRUE,FALSE
Mr Hero,T0V6pK7kJWTrTiB788ED6g,4,FALSE,NA,average,FALSE,FALSE,FALSE
Real McCoy Sandwich Shop,QbLCALa347d6D09WJ37HXQ,4.5,NA,TRUE,quiet,FALSE,FALSE,NA
McDonald's,XyNFUZW-uiu4pI4y700TJg,1,NA,NA,NA,FALSE,TRUE,NA
Subway,Y04W7U7KFsBP8WCtpO50wg,1.5,NA,TRUE,quiet,FALSE,FALSE,NA
Beckham's B & M Bar B Que,QcRWhJ6xO5OgORFsJlYg2w,2.5,NA,NA,NA,NA,FALSE,NA
Wendy's,zzbsLej_8KtTxGwJdOb09w,3.5,FALSE,NA,quiet,FALSE,FALSE,FALSE
Subway Restaurants,oXtQdwCHjzY3krLPkUsxXg,1.5,NA,FALSE,very,FALSE,FALSE,NA
Taco Bell,0kgF4xewcPRTLO4RH3EPHw,2,NA,NA,NA,NA,TRUE,NA
Raising Cane's Chicken Fingers,T3xarRKQzQ8_bOdsEQDiZA,3,NA,NA,average,FALSE,FALSE,NA
KFC,hX-foSZsr_fW_n7ydo4D0Q,2.5,NA,FALSE,NA,FALSE,FALSE,NA
Dairy Queen Grill & Chill,Pqt05fL95TArBD7mFCni-g,2.5,NA,FALSE,average,TRUE,FALSE,NA
QDOBA Mexican Eats,p2Nr4d7-MS82opzRCNkbNA,3.5,TRUE,TRUE,loud,FALSE,FALSE,NA
Subway,smtYnQpXjxixcomck2uluA,2,NA,NA,NA,NA,FALSE,NA
Applebee's,RXWoXbo18akMt9tV4bLktA,2.5,FALSE,FALSE,average,FALSE,FALSE,NA
Taco Bell,_2iPJy_nNDkez2jSqa40xg,2.5,NA,NA,NA,FALSE,TRUE,NA
Sonic Drive-In,NGLm1rYYnq88wt2UMd9v9Q,2.5,TRUE,FALSE,average,TRUE,FALSE,FALSE
Jade Tree Chinese Cuisine,dF-_fcrNyk4iZ5Pc1mr-wA,4,TRUE,TRUE,quiet,FALSE,FALSE,NA
Subway Restaurants,A7P_PJ3HCKqC4aNUEXJAug,2.5,FALSE,NA,average,FALSE,FALSE,NA
Taco Bell,xbBVkctlA1FYB1haKD9qeA,3,NA,NA,NA,FALSE,TRUE,NA
Subway Restaurants,7SWpq6itdtEH4qYvvWoP6A,2,NA,NA,NA,NA,FALSE,NA
McDonald's,k7vX7EO6a88gMxTAz5tiCw,2,TRUE,NA,NA,NA,TRUE,NA
Dairy Queen,nrx5xbee62IhjpbAi1vBfA,1.5,FALSE,FALSE,NA,NA,NA,NA
Wendy's,aQKix0iMREiJsFGr7mH1mA,1,NA,NA,NA,NA,FALSE,NA
Jimmy John's,dKncjeWnvdqYiNC8l26fog,3,TRUE,TRUE,NA,FALSE,TRUE,NA
Jimmy John's,Igr5Id1TWyM3JLsY_td9_w,4,TRUE,TRUE,very,FALSE,TRUE,NA
McDonald's,T-_xEyoDPAKV-I6iQlbKWA,1.5,NA,NA,loud,FALSE,TRUE,NA
Inn Cahoots Bar,dIEKy_eKyIHNp-M4u9Xk3w,4,TRUE,TRUE,average,TRUE,FALSE,NA
McDonald's,_dGND4z03G9REQh_KvfLUw,2,TRUE,FALSE,loud,TRUE,TRUE,NA
Subway Restaurants,CF7AmDSZhGLrkP3iZrlm-A,3.5,NA,NA,NA,NA,NA,NA
